timestamp,elbow_angle,wrist_angle,shoulder_angle,hand_x,hand_y,hand_z,wrist_x,wrist_y,wrist_z,elbow_x,elbow_y,elbow_z,shoulder_x,shoulder_y,shoulder_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
2025-03-04 16:40:20.533,102.0146934520174,0,82.58518958209577,0,0,0,895,479,0.00082732446026057,707,717,-0.3102759122848511,332,673,-0.3356894552707672,0,0,0,0,0,0
2025-03-04 16:40:20.606,101.96251260376854,0,82.76740700859769,0,0,0,895,476,0.11671901494264603,707,717,-0.26447170972824097,332,673,-0.3355990946292877,0,0,0,0,0,0
2025-03-04 16:40:20.675,102.16689248804371,0,82.8086968947843,0,0,0,895,476,0.19815059006214142,705,717,-0.2349494993686676,330,673,-0.3261590003967285,0,0,0,0,0,0
2025-03-04 16:40:20.740,102.00153041044858,0,82.60419063077465,0,0,0,895,477,0.20329417288303375,705,717,-0.21400313079357147,330,673,-0.3118959069252014,0,0,0,0,0,0
2025-03-04 16:40:20.814,101.90580360485895,0,82.49523017316665,0,0,0,895,477,0.11729220300912857,705,718,-0.22435863316059113,330,673,-0.31142759323120117,0,0,0,0,0,0
2025-03-04 16:40:20.872,101.72194867770796,0,82.37259146247564,0,0,0,895,477,0.09606821835041046,705,718,-0.24830077588558197,329,673,-0.3178214728832245,0,0,0,0,0,0
2025-03-04 16:40:20.945,101.60038007069973,0,82.3895933078039,0,0,0,896,475,-0.00954505242407322,704,719,-0.31140267848968506,328,673,-0.3387579023838043,0,0,0,0,0,0
2025-03-04 16:40:21.006,101.56879248049769,0,82.3089833992367,0,0,0,896,475,0.08446081727743149,704,719,-0.3060471713542938,327,673,-0.34189674258232117,0,0,0,0,0,0
2025-03-04 16:40:21.074,101.46944141326443,0,82.27032911153542,0,0,0,896,475,0.0399080291390419,704,719,-0.30708760023117065,327,673,-0.3463537395000458,0,0,0,0,0,0
2025-03-04 16:40:21.142,101.79844670668882,0,82.51465034476448,0,0,0,896,475,0.02006376162171364,704,718,-0.3120817244052887,327,672,-0.3510803282260895,0,0,0,0,0,0
2025-03-04 16:40:21.206,101.29415905429356,0,82.07134511178285,0,0,0,896,475,0.22029249370098114,704,718,-0.24867068231105804,331,671,-0.3500652611255646,0,0,0,0,0,0
2025-03-04 16:40:21.273,101.4732456667749,0,82.27594533051335,0,0,0,896,474,0.05780531466007233,705,717,-0.3035266697406769,331,671,-0.3603024482727051,0,0,0,0,0,0
2025-03-04 16:40:21.340,101.62027382056033,0,82.57663050554186,0,0,0,897,473,0.20828142762184143,709,716,-0.27679502964019775,331,671,-0.36485210061073303,0,0,0,0,0,0
2025-03-04 16:40:21.411,101.8086593212869,0,82.74779693357918,0,0,0,897,474,0.29273003339767456,709,715,-0.23435796797275543,331,671,-0.35946112871170044,0,0,0,0,0,0
2025-03-04 16:40:21.471,101.92324989276142,0,82.8780455295645,0,0,0,897,475,0.26930326223373413,712,715,-0.2410595566034317,334,671,-0.35691139101982117,0,0,0,0,0,0
2025-03-04 16:40:21.536,101.90062803832514,0,82.93044478189628,0,0,0,898,475,0.20626479387283325,713,715,-0.2642248272895813,334,671,-0.3644507825374603,0,0,0,0,0,0
2025-03-04 16:40:21.605,101.96121405591163,0,83.03096516736531,0,0,0,900,474,0.1188008114695549,716,715,-0.2660200893878937,334,672,-0.3502572476863861,0,0,0,0,0,0
2025-03-04 16:40:21.676,102.09447085466917,0,83.06694209140667,0,0,0,903,473,0.1364477127790451,717,715,-0.2666753828525543,334,672,-0.3483039438724518,0,0,0,0,0,0
2025-03-04 16:40:21.739,102.0495630256062,0,82.95588084026294,0,0,0,903,473,0.043256886303424835,717,715,-0.320314884185791,334,671,-0.36706551909446716,0,0,0,0,0,0
2025-03-04 16:40:21.807,101.66226193954833,0,83.14104831493263,0,0,0,903,469,0.052418556064367294,718,714,-0.31900274753570557,337,671,-0.368552029132843,0,0,0,0,0,0
2025-03-04 16:40:21.874,101.8654725733706,0,83.48307318535856,0,0,0,905,468,0.06226217746734619,721,713,-0.3135921359062195,340,672,-0.368362694978714,0,0,0,0,0,0
2025-03-04 16:40:21.943,101.79526616681929,0,83.48634203576985,0,0,0,906,468,0.15644977986812592,722,713,-0.2671746611595154,351,672,-0.345523864030838,0,0,0,0,0,0
2025-03-04 16:40:22.008,102.0831166544375,0,83.71686874273347,0,0,0,909,467,0.13041509687900543,723,714,-0.270334929227829,353,674,-0.34439244866371155,0,0,0,0,0,0
2025-03-04 16:40:22.074,101.96604528693629,0,83.78570473132662,0,0,0,911,467,0.14497390389442444,725,715,-0.259831041097641,363,676,-0.34170109033584595,0,0,0,0,0,0
2025-03-04 16:40:22.141,101.19686386398139,0,82.90800400870863,0,0,0,911,468,0.011900471523404121,725,716,-0.3099851608276367,360,673,-0.3566770553588867,0,0,0,0,0,0
2025-03-04 16:40:22.211,101.15146601566717,0,82.1501873690191,0,0,0,910,475,-0.008557687513530254,722,717,-0.3146170377731323,357,672,-0.3551424443721771,0,0,0,0,0,0
2025-03-04 16:40:22.270,101.15713852025843,0,81.63284931507914,0,0,0,909,481,0.14179858565330505,721,718,-0.25023847818374634,355,671,-0.3271021246910095,0,0,0,0,0,0
2025-03-04 16:40:22.340,101.11032355027439,0,81.41431031873903,0,0,0,909,483,0.1393134891986847,720,719,-0.2580118775367737,351,670,-0.3290022611618042,0,0,0,0,0,0
2025-03-04 16:40:22.407,101.29341143540326,0,81.4974349016442,0,0,0,908,484,0.1293385922908783,719,719,-0.2585705816745758,348,671,-0.3273174464702606,0,0,0,0,0,0
2025-03-04 16:40:22.474,101.29830334137681,0,81.39276691193383,0,0,0,908,486,0.15649257600307465,718,720,-0.25350406765937805,347,671,-0.3281858265399933,0,0,0,0,0,0
2025-03-04 16:40:22.542,101.41956180918618,0,81.39622745556117,0,0,0,908,486,0.18338166177272797,718,720,-0.23759426176548004,343,671,-0.3130844235420227,0,0,0,0,0,0
